"","CASE_STATUS","PW_SKILL_LEVEL","WAGE_OFFER_UNIT_OF_PAY","MINIMUM_EDUCATION","REQUIRED_EXPERIENCE","ACCEPT_ALT_OCCUPATION","FOREIGN_LANGUAGE_REQUIRED","PROFESSIONAL_OCCUPATION","COUNTRY_OF_CITIZENSHIP","CLASS_OF_ADMISSION","FOREIGN_WORKER_EDUCATION","FOREIGN_WORKER_YRS_SINCE_ED","FOREIGN_WORKER_ED_INST_US","FOREIGN_WORKER_REQ_EXPERIENCE","FOREIGN_WORKER_EXP_WITH_EMPL","FOREIGN_WORKER_CURR_EMPLOYED","EMPLOYER_COMPLETED_APPLICATION","WAITING_PERIOD","PW_WAGE_HOURLY"
"45",1,4,1,"Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",21,"0","N/A","0",1,0,169,51.4798076923077
"46",1,2,1,"Master's",0,1,0,1,"BRAZIL","H-1B","Master's",4,"1","N/A","0",1,0,219,58.85
"47",1,2,1,"Master's",1,1,0,1,"INDIA","H-1B","Master's",6,"1","N","0",1,0,200,37.1798076923077
"48",1,1,1,"Master's",1,1,0,1,"TAIWAN","H-1B","Doctorate",3,"1","Y","0",1,0,126,50.4798076923077
"49",1,3,1,"Master's",1,0,1,1,"CHINA","H-1B","Master's",6,"1","Y","UNK",1,0,363,39.4100961538462
"50",1,4,1,"Master's",1,0,0,1,"INDIA","H-1B","Bachelor's",13,"0","N","0",1,0,174,43.0701923076923
"51",1,0,1,"Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",16,"0","N/A","0",1,0,206,55.6302884615385
"52",1,2,1,"Master's",0,0,0,1,"INDIA","H-1B","Master's",5,"1","N/A","0",1,0,203,46.45
"53",1,3,1,"Master's",0,1,0,1,"INDIA","H-1B","Master's",13,"0","N/A","0",1,0,176,53.05
"54",1,3,1,"Master's",1,1,0,1,"INDIA","H-1B","Master's",8,"1","N","0",1,0,224,27.7798076923077
"55",1,1,1,"Bachelor's",0,0,0,1,"SOUTH KOREA","H-1B","Bachelor's",4,"1","N/A","0",1,0,355,31.9399038461538
"56",1,1,1,"High School",0,0,0,0,"BRAZIL","B-2","High School",17,"0","N/A","UNK",0,0,337,16.0100961538462
"57",1,2,1,"Bachelor's",0,0,0,1,"INDIA","H-1B","Bachelor's",11,"0","N/A","UNK",0,0,173,36.9798076923077
"58",1,4,1,"Bachelor's",1,1,0,1,"MEXICO","TN","Bachelor's",28,"0","N","0",1,0,224,47.7
"59",1,4,1,"Bachelor's",1,1,0,1,"INDIA","UNK","Bachelor's",13,"0","Y","0",1,0,174,53.1899038461538
"60",1,2,1,"Master's",0,0,0,1,"INDIA","F-1","Master's",2,"1","N/A","UNK",1,0,142,40.2100961538462
"61",1,3,1,"Master's",1,1,0,1,"INDIA","H-1B","Master's",5,"1","N","0",1,0,219,52.5701923076923
"62",1,2,1,"Master's",0,0,0,1,"CHINA","F-1","Master's",3,"1","N/A","0",1,0,337,52.3
"63",1,3,1,"Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",9,"0","N/A","0",1,0,169,42.9201923076923
"64",1,1,1,"Bachelor's",0,1,0,1,"MEXICO","L-1","Bachelor's",7,"0","N/A","0",1,0,223,48.05
"65",1,0,1,"Master's",0,1,0,1,"NIGERIA","F-1","Master's",1,"1","N/A","0",1,0,189,49.9125
"66",1,2,1,"Master's",1,1,0,1,"INDIA","H-1B","Master's",1,"1","N","0",1,0,138,41.2298076923077
"67",1,4,1,"Bachelor's",1,1,0,1,"INDIA","H-4","Bachelor's",15,"0","N","0",1,0,167,58.8100961538462
"68",1,4,1,"Master's",0,0,1,1,"MEXICO","H-1B","Master's",7,"1","N/A","0",1,0,350,31.7201923076923
"69",1,4,1,"Bachelor's",0,1,0,1,"ARGENTINA","L-2","Bachelor's",7,"0","N/A","0",1,0,165,41.25
"70",1,4,1,"Master's",1,0,0,1,"INDIA","H-1B","Master's",15,"0","Y","0",1,0,213,61.3
"71",1,1,1,"Bachelor's",1,1,0,1,"INDIA","H-1B","Master's",7,"1","Y","0",1,0,223,31.3
"72",1,4,1,"Master's",1,1,0,1,"TAIWAN","UNK","Master's",20,"0","N","0",1,0,230,76.7
"73",1,4,1,"Bachelor's",0,1,0,1,"INDIA","H-1B","Master's",7,"1","N/A","0",1,0,176,77.4701923076923
"74",1,1,1,"Other",0,0,0,1,"INDIA","H-1B","Other",14,"0","N/A","UNK",1,0,203,26.7100961538462
"75",1,1,1,"Bachelor's",1,1,0,1,"UNITED KINGDOM","H-1B","Bachelor's",11,"0","N","0",1,0,224,27.95
"76",1,2,1,"Other",0,0,0,1,"INDIA","H-1B","Other",13,"0","N/A","UNK",1,0,212,51.6100961538462
"77",1,4,1,"Bachelor's",1,1,0,1,"ROMANIA","L-1","Bachelor's",17,"0","N","0",1,0,191,59.4
"78",1,2,1,"Master's",1,1,0,1,"INDIA","H-1B","Master's",6,"1","N","0",1,0,198,48.15
"79",1,1,1,"Bachelor's",0,0,0,1,"SOUTH KOREA","H-1B","Bachelor's",6,"1","N/A","1",1,0,213,19
"80",1,2,1,"Master's",1,1,0,1,"INDIA","H-1B","Master's",3,"1","N","0",1,0,212,51.8798076923077
"81",1,3,1,"Bachelor's",0,0,0,1,"SOUTH KOREA","J-1","Bachelor's",5,"0","N/A","1",1,0,167,35.3798076923077
